Resume ID,Resume Text,Education,Experience Years,Skills,Job Role,Category,resume_text_clean,skills_clean
R000010,"Education: Master's in Computer Science Experience: 6 years Skills: Statistics, Research, Deep Learning, Shell Scripting, Python, TensorFlow, PyTorch, Network Security",Master's in Computer Science,6,Statistics|Research|Deep Learning|Shell Scripting|Python|TensorFlow|PyTorch|Network Security,Machine Learning Engineer,Technology,education master s in computer science experience 6 years skills statistics research deep learning shell scripting python tensorflow pytorch network security,"['statistics', 'research', 'deep learning', 'shell scripting', 'python', 'tensorflow', 'pytorch', 'network security']"
R000011,"Education: Associate in Broadcast Technology Experience: 1 years Skills: Technical Knowledge, Safety, Jenkins, Attention to Detail, Equipment Operation, Graphic Design, Troubleshooting, Problem Solving",Associate in Broadcast Technology,1,Technical Knowledge|Safety|Jenkins|Attention to Detail|Equipment Operation|Graphic Design|Troubleshooting|Problem Solving|Swift|Broadcasting,Broadcast Technician,Entertainment & Media,education associate in broadcast technology experience 1 years skills technical knowledge safety jenkins attention to detail equipment operation graphic design troubleshooting problem solving,"['technical knowledge', 'safety', 'jenkins', 'attention to detail', 'equipment operation', 'graphic design', 'troubleshooting', 'problem solving', 'swift', 'broadcasting']"
R000012,"Education: Bachelor's in Environmental Science Experience: 4 years Skills: Problem Solving, Web Accessibility, Communication, Environmental Knowledge, Conservation, React Native, Swift, R",Bachelor's in Environmental Science,4,Problem Solving|Web Accessibility|Communication|Environmental Knowledge|Conservation|React Native|Swift|R|Safety|Law Enforcement|Microservices,Conservation Officer,Conservation,education bachelor s in environmental science experience 4 years skills problem solving web accessibility communication environmental knowledge conservation react native swift r,"['problem solving', 'web accessibility', 'communication', 'environmental knowledge', 'conservation', 'react native', 'swift', 'r', 'safety', 'law enforcement', 'microservices']"
R000013,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Problem Solving, Clojure, LispyScript, Concurrency, Functional Programming, Java Interop, Node.js, Presentation Skills",Bachelor's in Computer Science,4,Problem Solving|Clojure|LispyScript|Concurrency|Functional Programming|Java Interop|Node.js|Presentation Skills,Clojure Developer,Technology,education bachelor s in computer science experience 4 years skills problem solving clojure lispyscript concurrency functional programming java interop node js presentation skills,"['problem solving', 'clojure', 'lispyscript', 'concurrency', 'functional programming', 'java interop', 'node.js', 'presentation skills']"
R000014,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Account Management, Problem Solving, Client Relations, Python, Communication, Business Acumen, Technical Knowledge, Product Knowledge",Bachelor's in Computer Science,3,Account Management|Problem Solving|Client Relations|Python|Communication|Business Acumen|Technical Knowledge|Product Knowledge,Technical Account Manager,Technology,education bachelor s in computer science experience 3 years skills account management problem solving client relations python communication business acumen technical knowledge product knowledge,"['account management', 'problem solving', 'client relations', 'python', 'communication', 'business acumen', 'technical knowledge', 'product knowledge']"
R000015,"Education: IT Certification Experience: 3 years Skills: Creativity, Scala, Tableau, Technical Expertise, System Design, IT Knowledge, Communication, Problem Solving",IT Certification,3,Creativity|Scala|Tableau|Technical Expertise|System Design|IT Knowledge|Communication|Problem Solving|Project Management,IT Consultant,Consulting,education it certification experience 3 years skills creativity scala tableau technical expertise system design it knowledge communication problem solving,"['creativity', 'scala', 'tableau', 'technical expertise', 'system design', 'it knowledge', 'communication', 'problem solving', 'project management']"
R000016,"Education: Bachelor's in Computer Science Experience: 3 years Skills: NoSQL, Scalability, Performance, Cassandra, Distributed Systems, CQL, Perl, Strategic Planning",Bachelor's in Computer Science,3,NoSQL|Scalability|Performance|Cassandra|Distributed Systems|CQL|Perl|Strategic Planning|Technical Writing|Penetration Testing,Cassandra Developer,Technology,education bachelor s in computer science experience 3 years skills nosql scalability performance cassandra distributed systems cql perl strategic planning,"['nosql', 'scalability', 'performance', 'cassandra', 'distributed systems', 'cql', 'perl', 'strategic planning', 'technical writing', 'penetration testing']"
R000017,"Education: Engineering License Experience: 5 years Skills: Adobe Creative Suite, Electrical Systems, Management, Safety, Problem Solving, iOS, Financial Analysis, Project Management",Engineering License,5,Adobe Creative Suite|Electrical Systems|Management|Safety|Problem Solving|iOS|Financial Analysis|Project Management|Leadership|PyTorch|Regulatory Knowledge,Electrical Utilities Manager,Energy & Utilities,education engineering license experience 5 years skills adobe creative suite electrical systems management safety problem solving ios financial analysis project management,"['adobe creative suite', 'electrical systems', 'management', 'safety', 'problem solving', 'ios', 'financial analysis', 'project management', 'leadership', 'pytorch', 'regulatory knowledge']"
R000018,"Education: Beauty School Experience: 2 years Skills: AWS, Nail Care, Jenkins, Artistry, Sanitation, Customer Service, Precision, Communication",Beauty School,2,AWS|Nail Care|Jenkins|Artistry|Sanitation|Customer Service|Precision|Communication|Business Acumen,Nail Technician,Beauty & Wellness,education beauty school experience 2 years skills aws nail care jenkins artistry sanitation customer service precision communication,"['aws', 'nail care', 'jenkins', 'artistry', 'sanitation', 'customer service', 'precision', 'communication', 'business acumen']"
R000019,"Education: Experience Experience: 1 years Skills: Business Skills, Health Knowledge, Leadership, Responsive Design, Equipment, Problem Solving, Livestock Care, PostgreSQL",Experience,1,Business Skills|Health Knowledge|Leadership|Responsive Design|Equipment|Problem Solving|Livestock Care|PostgreSQL|Network Security,Livestock Manager,Agriculture,education experience experience 1 years skills business skills health knowledge leadership responsive design equipment problem solving livestock care postgresql,"['business skills', 'health knowledge', 'leadership', 'responsive design', 'equipment', 'problem solving', 'livestock care', 'postgresql', 'network security']"
R000020,"Education: Bachelor's in Statistics Experience: 3 years Skills: Problem Solving, Data Management, Django, Visualization, Serverless, SAS, SQL, Statistical Analysis",Bachelor's in Statistics,3,Problem Solving|Data Management|Django|Visualization|Serverless|SAS|SQL|Statistical Analysis,SAS Programmer,Data & Analytics,education bachelor s in statistics experience 3 years skills problem solving data management django visualization serverless sas sql statistical analysis,"['problem solving', 'data management', 'django', 'visualization', 'serverless', 'sas', 'sql', 'statistical analysis']"
R000021,"Education: Bachelor's in 3D Art Experience: 2 years Skills: Creativity, App Testing, Software Skills, Rendering, HTML, Texturing, 3D Modeling, Adobe Creative Suite",Bachelor's in 3D Art,2,Creativity|App Testing|Software Skills|Rendering|HTML|Texturing|3D Modeling|Adobe Creative Suite|Problem Solving,3D Artist,Creative & Design,education bachelor s in 3d art experience 2 years skills creativity app testing software skills rendering html texturing 3d modeling adobe creative suite,"['creativity', 'app testing', 'software skills', 'rendering', 'html', 'texturing', '3d modeling', 'adobe creative suite', 'problem solving']"
R000022,"Education: Esthetics School Experience: 4 years Skills: Deep Learning, Technical Skills, Facial Treatment, Skincare, Communication, Business Development, MySQL, Customer Service",Esthetics School,4,Deep Learning|Technical Skills|Facial Treatment|Skincare|Communication|Business Development|MySQL|Customer Service|React Native|Product Knowledge,Esthetician,Beauty & Wellness,education esthetics school experience 4 years skills deep learning technical skills facial treatment skincare communication business development mysql customer service,"['deep learning', 'technical skills', 'facial treatment', 'skincare', 'communication', 'business development', 'mysql', 'customer service', 'react native', 'product knowledge']"
R000023,"Education: Bachelor's in Computer Science Experience: 3 years Skills: SQL, Analytics, React, dbt, Cloud Platforms, Documentation, Pandas, Creativity",Bachelor's in Computer Science,3,SQL|Analytics|React|dbt|Cloud Platforms|Documentation|Pandas|Creativity|MongoDB|Data Modeling|Python,Analytics Engineer,Data & Analytics,education bachelor s in computer science experience 3 years skills sql analytics react dbt cloud platforms documentation pandas creativity,"['sql', 'analytics', 'react', 'dbt', 'cloud platforms', 'documentation', 'pandas', 'creativity', 'mongodb', 'data modeling', 'python']"
R000024,"Education: Bachelor's in IT Experience: 3 years Skills: Informatica, Performance Tuning, SQL, React, GCP, Data Integration, ETL, Data Quality",Bachelor's in IT,3,Informatica|Performance Tuning|SQL|React|GCP|Data Integration|ETL|Data Quality|Wireframing,Informatica Developer,Data & Analytics,education bachelor s in it experience 3 years skills informatica performance tuning sql react gcp data integration etl data quality,"['informatica', 'performance tuning', 'sql', 'react', 'gcp', 'data integration', 'etl', 'data quality', 'wireframing']"
R000025,"Education: Bachelor's in Statistics Experience: 0 years Skills: Terraform, SQL, Python, Excel, MongoDB, Statistical Analysis, Data Visualization, REST API",Bachelor's in Statistics,0,Terraform|SQL|Python|Excel|MongoDB|Statistical Analysis|Data Visualization|REST API|Tableau|HTML|Project Management,Data Analyst,Data & Analytics,education bachelor s in statistics experience 0 years skills terraform sql python excel mongodb statistical analysis data visualization rest api,"['terraform', 'sql', 'python', 'excel', 'mongodb', 'statistical analysis', 'data visualization', 'rest api', 'tableau', 'html', 'project management']"
R000026,"Education: Doctor of Pharmacy Experience: 4 years Skills: Patient Counseling, Attention to Detail, Microservices, Firewalls, Pharmacy Knowledge, Communication, MySQL, Drug Interactions",Doctor of Pharmacy,4,Patient Counseling|Attention to Detail|Microservices|Firewalls|Pharmacy Knowledge|Communication|MySQL|Drug Interactions|Accuracy,Pharmacist,Healthcare,education doctor of pharmacy experience 4 years skills patient counseling attention to detail microservices firewalls pharmacy knowledge communication mysql drug interactions,"['patient counseling', 'attention to detail', 'microservices', 'firewalls', 'pharmacy knowledge', 'communication', 'mysql', 'drug interactions', 'accuracy']"
R000027,"Education: Bachelor's in Computer Science Experience: 5 years Skills: API Development, Go, PyTorch, Concurrency, Scrum, Swift, Problem Solving, Responsive Design",Bachelor's in Computer Science,5,API Development|Go|PyTorch|Concurrency|Scrum|Swift|Problem Solving|Responsive Design|Web Accessibility|Docker|Microservices,Go Developer,Technology,education bachelor s in computer science experience 5 years skills api development go pytorch concurrency scrum swift problem solving responsive design,"['api development', 'go', 'pytorch', 'concurrency', 'scrum', 'swift', 'problem solving', 'responsive design', 'web accessibility', 'docker', 'microservices']"
R000028,"Education: Bachelor's in Environmental Science Experience: 3 years Skills: Conservation, Problem Solving, User Experience, Environmental Knowledge, Safety, Law Enforcement, Creativity, Penetration Testing",Bachelor's in Environmental Science,3,Conservation|Problem Solving|User Experience|Environmental Knowledge|Safety|Law Enforcement|Creativity|Penetration Testing|Node.js|Communication|Budget Management,Conservation Officer,Conservation,education bachelor s in environmental science experience 3 years skills conservation problem solving user experience environmental knowledge safety law enforcement creativity penetration testing,"['conservation', 'problem solving', 'user experience', 'environmental knowledge', 'safety', 'law enforcement', 'creativity', 'penetration testing', 'node.js', 'communication', 'budget management']"
R000029,"Education: Master's in Business Experience: 8 years Skills: User Experience, Department Management, Leadership, GCP, Decision Making, Strategic Planning, Budget Control, GraphQL",Master's in Business,8,User Experience|Department Management|Leadership|GCP|Decision Making|Strategic Planning|Budget Control|GraphQL|Database Design|Communication,Director,Private Sector Management,education master s in business experience 8 years skills user experience department management leadership gcp decision making strategic planning budget control graphql,"['user experience', 'department management', 'leadership', 'gcp', 'decision making', 'strategic planning', 'budget control', 'graphql', 'database design', 'communication']"
R000030,"Education: Bachelor's in Production Experience: 2 years Skills: Technical Knowledge, Communication, Problem Solving, Creativity, Leadership, Negotiation, Production Management, Angular",Bachelor's in Production,2,Technical Knowledge|Communication|Problem Solving|Creativity|Leadership|Negotiation|Production Management|Angular,Producer,Entertainment & Media,education bachelor s in production experience 2 years skills technical knowledge communication problem solving creativity leadership negotiation production management angular,"['technical knowledge', 'communication', 'problem solving', 'creativity', 'leadership', 'negotiation', 'production management', 'angular']"
R000031,"Education: Bachelor's in Game Development Experience: 2 years Skills: Game Physics, C++, SQL, Penetration Testing, App Testing, Graphics Programming, Unreal Engine, Unity",Bachelor's in Game Development,2,Game Physics|C++|SQL|Penetration Testing|App Testing|Graphics Programming|Unreal Engine|Unity|Time Management|HTML|C#,Game Developer,Technology,education bachelor s in game development experience 2 years skills game physics c sql penetration testing app testing graphics programming unreal engine unity,"['game physics', 'c++', 'sql', 'penetration testing', 'app testing', 'graphics programming', 'unreal engine', 'unity', 'time management', 'html', 'c#']"
R000032,"Education: Bachelor's in Geology Experience: 3 years Skills: Research, Analysis, Technical Knowledge, TensorFlow, Negotiation, Field Work, HTML, Geology",Bachelor's in Geology,3,Research|Analysis|Technical Knowledge|TensorFlow|Negotiation|Field Work|HTML|Geology|Problem Solving,Geologist,Science & Research,education bachelor s in geology experience 3 years skills research analysis technical knowledge tensorflow negotiation field work html geology,"['research', 'analysis', 'technical knowledge', 'tensorflow', 'negotiation', 'field work', 'html', 'geology', 'problem solving']"
R000033,"Education: Teaching Credential Experience: 1 years Skills: Patience, Figma, Instruction, HTML, Classroom Management, Market Research, Communication, Curriculum Development",Teaching Credential,1,Patience|Figma|Instruction|HTML|Classroom Management|Market Research|Communication|Curriculum Development|Student Assessment,Teacher,Education & Training,education teaching credential experience 1 years skills patience figma instruction html classroom management market research communication curriculum development,"['patience', 'figma', 'instruction', 'html', 'classroom management', 'market research', 'communication', 'curriculum development', 'student assessment']"
R000034,"Education: Bachelor's in Journalism Experience: 1 years Skills: Business Acumen, Android, Attention to Detail, Documentation, Technical Writing, Content Editing, Communication, Organization",Bachelor's in Journalism,1,Business Acumen|Android|Attention to Detail|Documentation|Technical Writing|Content Editing|Communication|Organization|Writing|Management,Editor,Entertainment & Media,education bachelor s in journalism experience 1 years skills business acumen android attention to detail documentation technical writing content editing communication organization,"['business acumen', 'android', 'attention to detail', 'documentation', 'technical writing', 'content editing', 'communication', 'organization', 'writing', 'management']"
R000035,"Education: Bachelor's in Engineering Experience: 3 years Skills: Communication, Customer Relations, Sales, Product Knowledge, Technical Problem Solving, Presentation, Solution Design, Adaptability",Bachelor's in Engineering,3,Communication|Customer Relations|Sales|Product Knowledge|Technical Problem Solving|Presentation|Solution Design|Adaptability|C#|SEO,Solutions Engineer,Technology,education bachelor s in engineering experience 3 years skills communication customer relations sales product knowledge technical problem solving presentation solution design adaptability,"['communication', 'customer relations', 'sales', 'product knowledge', 'technical problem solving', 'presentation', 'solution design', 'adaptability', 'c#', 'seo']"
R000036,"Education: Bachelor's in Marketing Experience: 4 years Skills: Sales, Automation Platforms, Segmentation, Copywriting, A/B Testing, Analytics, Azure, Email Campaign Management",Bachelor's in Marketing,4,Sales|Automation Platforms|Segmentation|Copywriting|A/B Testing|Analytics|Azure|Email Campaign Management,Email Marketing Specialist,Marketing & Sales,education bachelor s in marketing experience 4 years skills sales automation platforms segmentation copywriting a b testing analytics azure email campaign management,"['sales', 'automation platforms', 'segmentation', 'copywriting', 'a/b testing', 'analytics', 'azure', 'email campaign management']"
R000037,"Education: Bachelor's in Operations Experience: 3 years Skills: Safety, PostgreSQL, Equipment Maintenance, Problem Solving, Communication, Staff Management, Production Planning, Quality Control",Bachelor's in Operations,3,Safety|PostgreSQL|Equipment Maintenance|Problem Solving|Communication|Staff Management|Production Planning|Quality Control,Production Manager,Operations & Supply Chain,education bachelor s in operations experience 3 years skills safety postgresql equipment maintenance problem solving communication staff management production planning quality control,"['safety', 'postgresql', 'equipment maintenance', 'problem solving', 'communication', 'staff management', 'production planning', 'quality control']"
R000038,"Education: Bachelor's in Computer Engineering Experience: 5 years Skills: Sensors, IoT Technology, System Design, P&L Management, Embedded Systems, CI/CD, MySQL, AWS",Bachelor's in Computer Engineering,5,Sensors|IoT Technology|System Design|P&L Management|Embedded Systems|CI/CD|MySQL|AWS|C/C++|Networking|Adaptability,IoT Engineer,Technology,education bachelor s in computer engineering experience 5 years skills sensors iot technology system design p l management embedded systems ci cd mysql aws,"['sensors', 'iot technology', 'system design', 'p&l management', 'embedded systems', 'ci/cd', 'mysql', 'aws', 'c/c++', 'networking', 'adaptability']"
R000039,"Education: Master's in Business Experience: 9 years Skills: Operations Management, Business Operations, Leadership, SEO, Docker, Decision Making, Strategic Thinking, Communication",Master's in Business,9,Operations Management|Business Operations|Leadership|SEO|Docker|Decision Making|Strategic Thinking|Communication,COO,Private Sector Management,education master s in business experience 9 years skills operations management business operations leadership seo docker decision making strategic thinking communication,"['operations management', 'business operations', 'leadership', 'seo', 'docker', 'decision making', 'strategic thinking', 'communication']"
R000040,"Education: Bachelor's in IT Experience: 3 years Skills: Database Design, SQL, Perl, Agile, Performance, ETL Tools, Problem Solving, Data Quality",Bachelor's in IT,3,Database Design|SQL|Perl|Agile|Performance|ETL Tools|Problem Solving|Data Quality|Data Integration,ETL Developer,Data & Analytics,education bachelor s in it experience 3 years skills database design sql perl agile performance etl tools problem solving data quality,"['database design', 'sql', 'perl', 'agile', 'performance', 'etl tools', 'problem solving', 'data quality', 'data integration']"
R000041,"Education: IT Certification Experience: 5 years Skills: Ansible, Kubernetes, Graphic Design, Scikit-learn, Linux, Scripting, Docker, Documentation",IT Certification,5,Ansible|Kubernetes|Graphic Design|Scikit-learn|Linux|Scripting|Docker|Documentation|AWS|CI/CD|Query Optimization,DevOps Engineer,Technology,education it certification experience 5 years skills ansible kubernetes graphic design scikit learn linux scripting docker documentation,"['ansible', 'kubernetes', 'graphic design', 'scikit-learn', 'linux', 'scripting', 'docker', 'documentation', 'aws', 'ci/cd', 'query optimization']"
R000042,"Education: Master's in Counseling Experience: 3 years Skills: Ansible, Communication, Android, Active Listening, Empathy, Treatment Planning, Problem Solving, Counseling",Master's in Counseling,3,Ansible|Communication|Android|Active Listening|Empathy|Treatment Planning|Problem Solving|Counseling|C++|PostgreSQL|C#,Counselor,Human Services & Social Work,education master s in counseling experience 3 years skills ansible communication android active listening empathy treatment planning problem solving counseling,"['ansible', 'communication', 'android', 'active listening', 'empathy', 'treatment planning', 'problem solving', 'counseling', 'c++', 'postgresql', 'c#']"
R000043,"Education: Bachelor's in Business Experience: 1 years Skills: Responsive Design, Requirements Gathering, Process Improvement, Excel, Web Accessibility, Documentation, Prototyping, Business Development",Bachelor's in Business,1,Responsive Design|Requirements Gathering|Process Improvement|Excel|Web Accessibility|Documentation|Prototyping|Business Development|JavaScript|SQL|Stakeholder Communication,Business Analyst,Data & Analytics,education bachelor s in business experience 1 years skills responsive design requirements gathering process improvement excel web accessibility documentation prototyping business development,"['responsive design', 'requirements gathering', 'process improvement', 'excel', 'web accessibility', 'documentation', 'prototyping', 'business development', 'javascript', 'sql', 'stakeholder communication']"
R000044,"Education: Master's in Relevant Field Experience: 2 years Skills: Analysis, Strategic Thinking, PyTorch, Sales, Mobile Security, Research, Communication, Writing",Master's in Relevant Field,2,Analysis|Strategic Thinking|PyTorch|Sales|Mobile Security|Research|Communication|Writing|Responsive Design|Policy Expertise|Kubernetes,Policy Advisor,Government & Public Service,education master s in relevant field experience 2 years skills analysis strategic thinking pytorch sales mobile security research communication writing,"['analysis', 'strategic thinking', 'pytorch', 'sales', 'mobile security', 'research', 'communication', 'writing', 'responsive design', 'policy expertise', 'kubernetes']"
R000045,"Education: Massage Therapy School Experience: 2 years Skills: Problem Solving, Customer Service, Massage Therapy, Empathy, Penetration Testing, Flutter, Machine Learning, Communication",Massage Therapy School,2,Problem Solving|Customer Service|Massage Therapy|Empathy|Penetration Testing|Flutter|Machine Learning|Communication|Anatomy,Massage Therapist,Beauty & Wellness,education massage therapy school experience 2 years skills problem solving customer service massage therapy empathy penetration testing flutter machine learning communication,"['problem solving', 'customer service', 'massage therapy', 'empathy', 'penetration testing', 'flutter', 'machine learning', 'communication', 'anatomy']"
R000046,"Education: Bachelor's in Environmental Science Experience: 3 years Skills: CI/CD, Problem Solving, Public Safety, Outdoor Skills, React Native, Conservation, Communication, Environmental Knowledge",Bachelor's in Environmental Science,3,CI/CD|Problem Solving|Public Safety|Outdoor Skills|React Native|Conservation|Communication|Environmental Knowledge|CSS,Park Ranger,Conservation,education bachelor s in environmental science experience 3 years skills ci cd problem solving public safety outdoor skills react native conservation communication environmental knowledge,"['ci/cd', 'problem solving', 'public safety', 'outdoor skills', 'react native', 'conservation', 'communication', 'environmental knowledge', 'css']"
R000047,"Education: Bachelor's in Botany Experience: 4 years Skills: User Experience, Problem Solving, Project Management, Microservices, Communication, Field Work, Plant Science, Flutter",Bachelor's in Botany,4,User Experience|Problem Solving|Project Management|Microservices|Communication|Field Work|Plant Science|Flutter|Data Analysis|Research,Botanist,Science & Research,education bachelor s in botany experience 4 years skills user experience problem solving project management microservices communication field work plant science flutter,"['user experience', 'problem solving', 'project management', 'microservices', 'communication', 'field work', 'plant science', 'flutter', 'data analysis', 'research']"
R000048,"Education: Bachelor's in Statistics Experience: 2 years Skills: Figma, Excel, Statistical Analysis, Tableau, SQL, Confluence, Data Visualization, Python",Bachelor's in Statistics,2,Figma|Excel|Statistical Analysis|Tableau|SQL|Confluence|Data Visualization|Python|App Testing,Data Analyst,Data & Analytics,education bachelor s in statistics experience 2 years skills figma excel statistical analysis tableau sql confluence data visualization python,"['figma', 'excel', 'statistical analysis', 'tableau', 'sql', 'confluence', 'data visualization', 'python', 'app testing']"
R000049,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Problem Solving, Client Relations, Adobe Creative Suite, PyTorch, Communication, Product Knowledge, Jenkins, Account Management",Bachelor's in Computer Science,4,Problem Solving|Client Relations|Adobe Creative Suite|PyTorch|Communication|Product Knowledge|Jenkins|Account Management|Technical Knowledge,Technical Account Manager,Technology,education bachelor s in computer science experience 4 years skills problem solving client relations adobe creative suite pytorch communication product knowledge jenkins account management,"['problem solving', 'client relations', 'adobe creative suite', 'pytorch', 'communication', 'product knowledge', 'jenkins', 'account management', 'technical knowledge']"
R000050,"Education: Master's in Strategy Experience: 6 years Skills: Shell Scripting, Analysis, Documentation, Market Knowledge, Communication, Problem Solving, User Interface, Query Optimization",Master's in Strategy,6,Shell Scripting|Analysis|Documentation|Market Knowledge|Communication|Problem Solving|User Interface|Query Optimization|Leadership|Vue.js|Strategic Thinking,Strategy Consultant,Consulting,education master s in strategy experience 6 years skills shell scripting analysis documentation market knowledge communication problem solving user interface query optimization,"['shell scripting', 'analysis', 'documentation', 'market knowledge', 'communication', 'problem solving', 'user interface', 'query optimization', 'leadership', 'vue.js', 'strategic thinking']"
R000051,"Education: Museum Studies Experience: 3 years Skills: Curation, Problem Solving, Communication, Java, Art Knowledge, Microservices, Management, Research",Museum Studies,3,Curation|Problem Solving|Communication|Java|Art Knowledge|Microservices|Management|Research,Museum Curator,Arts & Culture,education museum studies experience 3 years skills curation problem solving communication java art knowledge microservices management research,"['curation', 'problem solving', 'communication', 'java', 'art knowledge', 'microservices', 'management', 'research']"
